,,,
,,,
No.,URAIAN PEKERJAAN,LOKASI,STATUS
6,Rehabilitasi Jalan Ruas Jalan Aribaya - Kayuares,Pagentan,Berkontrak
7,Rehabilitasi Talud Ruas jalan Banjarnegara - Kebutuh jurang,Pagedongan,Berkontrak
8,Rehabilitasi Talud Jalan Ruas Jalan Grogol - Tlagabang,Batur,Berkontrak
9,Rehabilitasi Talud Jalan Ruas Jalan Payaman - Dawuhan,Wanayasa,Berkontrak
10,Rehabilitasi Talud Jalan Ruas Jalan Purwasana - Jembangan,Punggelan,Berkontrak
11,Rehabilitasi Jalan Ruas Jalan Sijeruk - Pagerpelah,Banjarmangu,SPPBJ
12,Rehabilitasi Jalan LAWEN - PASEGERAN KAB. BANJARNEGARA,Pandanarum,Pending
13,Rehabilitasi Jalan SUMBEREJO - SIDENGOK KAB. BANJARNEGARA,Batur,Pending
,,,
,,,58 Paket
